image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.976217,bus,van,False
drive_022,2,3,0.810329,car,car,True
drive_022,3,5,0.911117,truck,bus,False
drive_022,4,1,0.921175,car,car,True
drive_022,5,4,0.777009,car,car,True
drive_033,1,1,0.987135,bus,van,False
drive_033,2,2,0.9381,truck,bus,False
drive_033,3,11,0.869078,car,car,True
drive_033,4,12,0.954881,bus,van,False
drive_033,5,8,0.845541,car,car,True
drive_033,6,10,0.785719,car,car,True
drive_033,7,7,0.89613,car,car,True
drive_033,8,4,0.741327,car,car,True
drive_033,9,3,0.844578,car,car,True
drive_033,10,9,0.836203,car,car,True
drive_033,12,6,0.800231,car,car,True
drive_033,15,5,0.810514,car,car,True
drive_038,1,1,0.934719,car,car,True
drive_038,2,2,0.933878,car,car,True
drive_038,3,3,0.953443,car,car,True
drive_038,4,4,0.927704,car,car,True
drive_038,5,5,0.889256,truck,bus,False
drive_038,8,9,0.90626,truck,bus,False
drive_038,9,8,0.871992,car,car,True
drive_038,10,7,0.880204,car,car,True
drive_038,11,6,0.831776,car,car,True
drive_038,14,17,0.896224,car,car,True
drive_038,15,16,0.870519,car,car,True
drive_038,16,15,0.897736,truck,truck,True
drive_038,17,14,0.829837,car,car,True
drive_038,18,13,0.902741,car,car,True
drive_038,19,11,0.849294,car,car,True
drive_038,20,12,0.711206,car,car,True
drive_008,1,16,0.926562,car,car,True
drive_008,2,11,0.910085,car,car,True
drive_008,3,12,0.875879,car,truck,False
drive_008,4,6,0.8742,car,car,True
drive_008,5,3,0.914063,van,truck,False
drive_008,6,4,0.94073,car,car,True
drive_008,7,9,0.966791,bus,van,False
drive_008,11,1,0.840325,truck,bus,False
drive_008,12,7,0.850641,car,car,True
drive_008,13,13,0.749802,car,car,True
drive_008,14,14,0.860716,car,car,True
drive_008,15,15,0.193289,car,car,True
drive_008,18,2,0.909482,car,car,True
drive_008,19,5,0.820423,van,truck,False
